[简单]
苹果, 椅子, 红色, 爸爸, 香蕉, 绿色, 电脑, 太阳, 西瓜, 手机, 快乐, 夏天
葡萄, 汽车, 医生, 书包, 橘子, 眼睛, 足球, 铅笔, 樱桃, 衣服, 飞机, 早上
草莓, 杯子, 老虎, 巧克力, 柠檬, 牙刷, 公园, 雨伞, 菠萝, 手表, 警察, 昨天
椰子, 枕头, 老师, 红色, 番茄, 镜子, 司机, 冬天, 黄瓜, 钱包, 厨师, 蓝色
鸡蛋, 钥匙, 演员, 绿色, 面包, 眼镜, 歌手, 黄色, 猫, 窗户, 画家, 黑色
狗, 门, 农民, 白色, 兔子, 地板, 工人, 紫色, 鸟, 墙壁, 朋友, 橙色
鱼, 鼻子, 爷爷, 粉色, 仓鼠, 嘴巴, 奶奶, 灰色, 乌龟, 耳朵, 哥哥, 袜子
熊猫, 头发, 姐姐, 鞋子, 狮子, 手, 弟弟, 裤子, 老虎, 脚, 妹妹, 帽子
桌子, 肚子, 护士, 外套, 椅子, 牙齿, 警察, 裙子, 床, 舌头, 司机, 围巾
沙发, 水, 厨师, 手套, 柜子, 牛奶, 演员, 睡衣, 镜子, 果汁, 歌手, 毛巾
门, 可乐, 画家, 牙膏, 窗户, 咖啡, 农民, 肥皂, 地板, 茶, 工人, 洗发水
墙壁, 米饭, 高兴, 沐浴露, 眼睛, 面条, 生气, 卫生纸, 鼻子, 饺子, 难过, 梳子
嘴巴, 月亮, 害怕, 筷子, 耳朵, 星星, 累, 勺子, 头发, 云, 饿, 盘子
手, 闪电, 渴, 锅, 脚, 彩虹, 疼, 菜刀, 肚子, 雨, 热, 垃圾桶
牙齿, 雪, 冷, 扫把, 舌头, 风, 东, 拖把, 书, 雾, 西, 时钟
纸, 橡皮, 南, 篮球, 剪刀, 胶水, 北, 网球, 尺子, 笔盒, 上, 乒乓球
彩笔, 课本, 下, 游泳, 火车, 船, 左, 跑步, 自行车, 公交车, 右, 跳舞
地铁, 卡车, 前, 唱歌, 出租车, 摩托车, 后, 画画, 轮船, 电视, 春天, 睡觉
相机, 耳机, 秋天, 花, 冰箱, 空调, 树, 草, 洗衣机, 吹风机, 叶子, 石头
手电筒, 医院, 土, 书店, 学校, 警察局, 森林, 电影院, 动物园, 超市, 海洋, 饭店
银行, 邮局, 沙滩, 盐, 糖, 酱油, 醋, 油, 大蒜, 生姜, 胡椒, 蜂蜜
奶油, 信, 日记, 礼物, 气球, 玩具, 积木, 拼图, 玩偶, 棋, 大, 小
长, 短, 高, 矮, 快, 慢, 新, 旧, 硬, 软, 重, 轻, 干净, 脏, 亮, 暗

[中等]
森林, 电影, 吉他, 篮球, 沙漠, 音乐, 钢琴, 足球, 海洋, 绘画, 小提琴, 排球
草原, 舞蹈, 鼓, 网球, 山脉, 戏剧, 笛子, 羽毛球, 岛屿, 摄影, 萨克斯, 高尔夫
城市, 雕塑, 麦克风, 滑雪, 乡村, 建筑, 舞台, 拳击, 沼泽, 文学, 乐谱, 赛车
峡谷, 诗歌, 节奏, 射箭, 婚礼, 梦想, 快乐, 成功, 生日, 现实, 悲伤, 失败
葬礼, 记忆, 愤怒, 胜利, 节日, 想象, 恐惧, 输赢, 毕业, 计划, 惊讶, 竞争
约会, 目标, 厌恶, 合作, 会议, 习惯, 嫉妒, 奖励, 面试, 秘密, 羞愧, 惩罚
旅行, 谎言, 感动, 表扬, 搬家, 真相, 失望, 批评, 聪明, 朋友, 战争, 魔法
愚蠢, 敌人, 和平, 科学, 勇敢, 邻居, 法律, 宗教, 懦弱, 陌生人, 犯罪, 迷信
诚实, 客人, 规则, 奇迹, 虚伪, 主人, 自由, 巧合, 善良, 伙伴, 权利, 命运
邪恶, 对手, 义务, 运气, 慷慨, 偶像, 传统, 逻辑, 吝啬, 粉丝, 现代, 直觉
时间, 问题, 新闻, 天堂, 空间, 答案, 广告, 地狱, 过去, 原因, 谣言, 灵魂
未来, 结果, 八卦, 幽灵, 瞬间, 过程, 采访, 僵尸, 永恒, 终点, 演讲, 吸血鬼
历史, 开始, 辩论, 怪物, 传说, 结束, 谈话, 英雄, 神话, 简单, 沉默, 巫师
科幻, 复杂, 噪音, 精灵, 自然, 真实, 危险, 光明, 人工, 虚假, 安全, 黑暗
野生, 模糊, 冒险, 影子, 家养, 清晰, 保险, 倒影, 保护, 抽象, 警告, 色彩
污染, 具体, 救援, 黑白, 环保, 宏观, 逃跑, 透明, 回收, 微观, 追捕, 浑浊
浪费, 主观, 隐藏, 发光, 节约, 客观, 寻找, 熄灭, 声音, 味道, 坚硬, 干燥
回声, 气味, 柔软, 潮湿, 旋律, 香水, 粗糙, 温暖, 歌词, 臭味, 光滑, 寒冷
语言, 甜, 锋利, 炎热, 方言, 苦, 钝, 冰冻, 密码, 辣, 易碎, 融化
符号, 酸, 坚固, 蒸发, 信号, 咸, 弹性, 燃烧, 暗号, 淡, 粘, 爆炸
安静, 昂贵, 礼物, 工作, 吵闹, 便宜, 惊喜, 职业, 孤独, 免费, 债务, 事业
热闹, 奢侈, 赔偿, 爱好, 拥挤, 贫穷, 工资, 任务, 空旷, 富有, 奖金, 责任
繁忙, 捐赠, 罚款, 压力, 悠闲, 偷窃, 税, 动力, 紧张, 借, 价格, 效率
放松, 还, 价值, 懒惰, 买, 冠军, 观众, 照片, 卖, 亚军, 演员, 镜头
租, 奖牌, 导演, 滤镜, 借, 奖杯, 剧本, 焦距, 交换, 记录, 角色, 曝光
分享, 排行榜, 演技, 构图, 收藏, 裁判, 票房, 自拍, 丢弃, 犯规, 评论, 合影
修理, 暂停, 评分, 背景, 破坏, 加时, 剧透, 前景, 网络, 邮件, 搜索, 机场
信号, 短信, 下载, 火车站, 流量, 电话, 上传, 地铁站, 病毒, 视频, 更新, 高速路
黑客, 语音, 安装, 超市, 密码, 表情, 卸载, 商场, 账号, 点赞, 崩溃, 便利店
头像, 转发, 重启, 药店, 状态, 屏蔽, 待机, 电脑, 隐私, 拉黑, 充电, 键盘
验证, 鼠标, 火锅, 作业, 登录, 耳机, 汉堡, 考试, 披萨, 寿司, 成绩, 学期
钻石, 水晶, 黄金, 宝石

[困难]
希望, 忠诚, 智慧, 孤独, 欲望, 背叛, 知识, 寂寞, 绝望, 信任, 真理, 独立
渴望, 怀疑, 谬误, 依赖, 期待, 承诺, 偏见, 自由, 幻想, 誓言, 愚昧, 束缚
